GEOID,within_dfo,within_aer,sel_sa_tracts
48423000700,1,NA,1
48423000900,1,NA,1
48423001000,1,NA,1
48423001101,1,NA,1
48423001102,1,NA,1
48423001200,1,NA,1
48311950100,1,NA,1
48423001803,1,NA,1
48423001901,1,NA,1
48423002003,1,NA,1
48423002004,1,NA,1
48423002006,1,NA,1
48423001300,1,NA,1
48423000800,1,NA,1
48265960401,1,NA,1
48479000700,1,NA,1
48479000800,1,NA,1
48479000901,1,NA,1
48059030101,NA,NA,NA
48201333100,1,1,1
48201350200,1,1,1
48201350300,1,1,1
48201350400,1,1,1
48201350500,1,1,1
48273020300,1,1,1
48201420300,1,1,1
48201420500,1,1,1
48201333300,1,1,1
48201980000,1,1,1
48201333600,1,1,1
48201333700,1,1,1
48201410100,1,1,1
48201410200,1,1,1
48201410300,1,1,1
48201410500,1,1,1
48201410600,1,1,1
48201410800,1,1,1
48201410900,1,1,1
48201420600,1,1,1
48201420700,1,1,1
48201420900,1,1,1
48201431700,1,1,1
48201431900,1,1,1
48201333800,1,1,1
48473680400,1,1,1
48473680500,1,1,1
48473680200,1,1,1
48473680300,1,1,1
48473680100,1,1,1
48473680600,1,1,1
48201411000,1,1,1
48201411100,1,1,1
48201411200,1,1,1
48201411300,1,1,1
48201411400,1,1,1
48201421000,1,1,1
48201432100,1,1,1
48201432200,1,1,1
48201432300,1,1,1
48201340100,1,1,1
48201521700,1,1,1
48201521800,1,1,1
48201521900,1,1,1
48201522100,1,1,1
48201530100,1,1,1
48201530300,1,1,1
48201454900,1,1,1
48201455000,1,1,1
48201530400,1,1,1
48201530700,1,1,1
48201455200,1,1,1
48201455300,1,1,1
48007950400,1,1,1
48007950100,1,1,1
48007950200,1,1,1
48007950500,1,1,1
48007950300,1,1,1
48201530800,1,1,1
48201531500,1,1,1
48201531600,1,1,1
48201531700,1,1,1
48201531800,1,1,1
48201531900,1,1,1
48201510100,1,1,1
48201510200,1,1,1
48201510300,1,1,1
48201510400,1,1,1
48201510500,1,1,1
48201510600,1,1,1
48201532600,1,1,1
48201510800,1,1,1
48201530900,1,1,1
48201531100,1,1,1
48201531300,1,1,1
48201531400,1,1,1
48201510900,1,1,1
48419950300,1,NA,1
48419950200,1,NA,1
48029131700,1,NA,1
48029140100,1,NA,1
48029140200,1,NA,1
48029140300,1,NA,1
48029140500,1,NA,1
48029140700,1,NA,1
48029140800,1,NA,1
48029140900,1,NA,1
48029141000,1,NA,1
48419950600,1,NA,1
48419950500,1,NA,1
48419950100,1,NA,1
48419950400,1,NA,1
48201532100,1,1,1
48201532300,1,1,1
48201532400,1,1,1
48245010300,1,1,1
48245010400,1,1,1
48029131200,1,NA,1
48029141200,1,NA,1
48201452900,1,1,1
48201453000,1,1,1
48201453100,1,1,1
48201530600,1,1,1
48245010600,1,1,1
48029131606,1,NA,1
48201453300,1,1,1
48201511200,1,1,1
48201511500,1,1,1
48201511600,1,1,1
48201520100,1,1,1
48029131300,1,NA,1
48245000900,1,1,1
48245002000,1,1,1
48245011600,1,1,1
48201453700,1,1,1
48201453800,1,1,1
48201453900,1,1,1
48245010100,1,1,1
48245011101,1,1,1
48245001303,1,1,1
48245006900,1,1,1
48245000103,1,1,1
48245011400,1,1,1
48201454000,1,1,1
48309003602,1,NA,NA
48309003801,1,NA,1
48309001000,1,NA,1
48309004102,1,NA,1
48309003500,1,NA,1
48309003802,1,NA,1
48309002302,1,NA,1
48309001800,1,NA,1
48309003900,1,NA,1
48309002900,1,NA,1
48309003400,1,NA,1
48309003601,1,NA,1
48309001700,1,NA,1
48309003701,1,NA,NA
48201520200,1,1,1
48201520500,1,1,1
48201520700,1,1,1
48245001302,1,1,1
48245010800,1,1,1
48245010901,1,1,1
48245010700,1,1,1
48201454100,1,1,1
48201454200,1,1,1
48245002400,1,1,1
48245000304,1,1,1
48245011500,1,1,1
48245007100,1,1,1
48245000306,1,1,1
48201521000,1,1,1
48201521100,1,1,1
48201521200,1,1,1
48201521300,1,1,1
48201521400,1,1,1
48201521600,1,1,1
48201454600,1,1,1
48201454700,1,1,1
48201454800,1,1,1
48201550500,1,1,1
48201554700,1,1,1
48201555000,1,1,1
48201555100,1,1,1
48201241000,1,1,1
48201522000,1,1,1
48201550700,1,1,1
48201550800,1,1,1
48201550900,1,1,1
48385950100,NA,NA,NA
48201540800,1,1,1
48201541100,1,1,1
48201551000,1,1,1
48201551100,1,1,1
48291700300,1,1,1
48291700400,1,1,1
48291700900,1,1,1
48291700500,1,1,1
48201551200,1,1,1
48201551300,1,1,1
48201541300,1,1,1
48201541400,1,1,1
48201541500,1,1,1
48201551400,1,1,1
48201551500,1,1,1
48201551600,1,1,1
48245001700,1,1,1
48201541700,1,1,1
48201541800,1,1,1
48099010601,1,NA,1
48099010702,1,NA,1
48291700600,1,1,1
48291701400,1,1,1
48291701200,1,1,1
48291700800,1,1,1
48291701000,1,1,1
48291700100,1,1,1
48291700200,1,1,1
48291701300,1,1,1
48291700700,1,1,1
48291701100,1,1,1
48201541900,1,1,1
48201542000,1,1,1
48201551800,1,1,1
