fid,GEOID,NLCD16_WA,DFOfloodArea,DFOfRatio,within_dfo,within_aer,population,fldPopDFO,fldPopPctDFO,Shape_Area
67,48201541602,0,290603.6906,0.057537757,1,1,9435,272,0.028828829,5050660.75
68,48373210102,560849.2771,1843288.702,0.002980364,1,1,6719,35,0.005209108,619038508.5
69,48373210101,2850513.426,11149322.76,0.070540585,1,1,5092,134,0.026315789,160905941.8
70,48373210500,1056416.823,,,1,1,4330,0,0,600332176.5
71,48373210400,2280168.706,244592.7041,0.000318302,1,,5456,0,0,770709061.8
72,48157670400,18194.0406,41386.57924,0.015871689,1,1,4751,120,0.02525784,2625766.479
73,48157670300,3379.164139,82793.2349,0.027693737,1,1,3462,2,0.000577701,2992980.472
74,48157670200,0,82786.24814,0.022860786,1,1,7194,165,0.02293578,3621321.044
75,48157670700,101967.6658,3856163.944,0.131396979,1,1,5010,358,0.071457086,29449399.14
76,48201455102,0,,,1,1,2791,0,0,1604808.8
77,48201511302,0,,,1,1,3880,0,0,1582841.874
78,48201520601,0,95406.16605,0.048733097,1,1,2290,49,0.02139738,1957728.374
79,48201554001,16397.8746,665883.2499,0.200022444,1,1,3386,131,0.038688718,3345440.602
80,48201554901,25613.52166,1190860.926,0.136534989,1,1,9682,1388,0.14335881,8747633.748
81,48201212300,778.5449066,490055.8609,0.151688457,1,1,4401,157,0.035673711,3231451.953
82,48201212400,0,1569613.999,0.193481326,1,1,2454,85,0.034637327,8112483.062
83,48157675300,62721.6992,860036.3401,0.091891408,1,1,5931,23,0.00387793,9421990.067
84,48157675600,1917104.399,85151672.2,0.315865487,1,1,6292,1149,0.182612842,271499169
85,48157673700,23130.0069,3224091.291,0.36131987,1,1,16,12,0.75,8946224.017
86,48157675100,0,798599.5431,0.102791682,1,1,9688,245,0.025289017,7769106.576
87,48201250701,2106252.395,8469653.566,0.481995493,1,1,4934,492,0.099716255,19678312.19
88,48201250702,0,55154.97625,0.018438675,1,1,4604,25,0.005430061,2991265.861
89,48201251503,0,,,1,1,2044,0,0,925689.6978
90,48201251402,0,,,1,1,5463,0,0,2659777.231
91,48201251902,1063127.173,3945313.85,0.241229847,1,1,5237,25,0.004773725,17418125.93
92,48201314002,0,165014.5236,0.090142496,1,1,6488,354,0.054562269,1830596.371
93,48201511002,0,,,1,1,4126,0,0,2110739.81
94,48201511001,0,6753.176122,0.002994813,1,1,2854,0,0,2254957.858
95,48201522302,0,202928.5544,0.1572337,1,1,3631,327,0.090057835,1290617.387
96,48201522202,0,552.5542494,0.000313575,1,1,3360,0,0,1762113.19
97,48201522301,0,267723.9604,0.19387868,1,1,3626,1,0.000275786,1380883.983
98,48201522201,0,,,1,1,3883,0,0,1623000.215
99,48201532002,0,,,1,1,1235,0,0,654094.2458
100,48201532001,0,53715.53098,0.027401214,1,1,5914,58,0.009807237,1960333.966
101,48201532502,0,,,1,1,5275,0,0,2691757.955
102,48201543200,177888.0673,20558480.99,0.514201343,1,1,7108,548,0.07709623,40159272.94
103,48201522500,0,,,1,1,4855,0,0,3840218.774
104,48355005414,0,1491541.354,0.51719749,1,1,2571,739,0.287436795,2883891.432
105,48355003203,0,965234.0043,0.376273841,1,1,6044,1134,0.18762409,2565243.466
106,48355005404,394185.5624,2198591.941,0.379591316,1,1,3542,498,0.140598532,6186182.866
107,48355003700,548130.2846,,,1,1,3155,0,0,12383002.92
108,48355001903,0,,,1,1,3731,0,0,1435698.693
109,48201314001,0,5000.992449,0.00355693,1,1,2588,0,0,1405985.806
110,48201413202,0,,,1,1,3453,0,0,564976.1776
111,48201320602,0,,,1,1,4556,0,0,1514612.759
112,48201333202,0,375618.0536,0.168424889,1,1,5263,42,0.007980239,2230181.482
113,48201321401,0,,,1,1,4157,0,0,2060534.876
114,48201323702,0,,,1,1,3164,0,0,1056223.274
115,48201340203,532943.8349,565861.8894,0.05088947,1,1,4321,47,0.010877112,11652374
116,48201342002,19056.49445,741782.1007,0.201514944,1,1,3347,637,0.190319689,3700084.202
117,48201534001,32395.19108,68757.71741,0.01837386,1,1,2899,0,0,3774543.977
118,48201533902,0,41246.77446,0.021375224,1,1,4691,83,0.017693456,1929653.463
119,48201550603,0,,,1,1,5337,0,0,1737135.063
120,48187210508,659890.0196,,,1,1,2690,0,0,91421588.29
121,48187210608,590740.615,,,1,1,4612,0,0,29789574.41
122,48187210607,72972.13494,,,1,1,8395,0,0,10649741.3
123,48187210713,0,,,1,,5373,0,0,8187003.06
124,48201550402,0,41105.68185,0.008749139,1,1,10179,133,0.013066117,4698254.857
125,48201550601,0,82465.03625,0.040667064,1,1,6648,316,0.047533093,2027808.879
126,48413950300,0,,,,,,,,3380339898
127,48355002101,0,878526.6387,0.512505352,1,1,3807,1233,0.323877069,1714180.449
128,48355002001,0,,,1,1,3912,0,0,1689318.41
129,48355001702,0,,,1,1,1556,0,0,8822888.918
130,48355002002,0,,,1,1,3674,0,0,1310524.325
131,48355001904,0,,,1,1,4272,0,0,1509247.103
